,Unnamed: 0,happiness_rank_2019,country,happiness_score_2019,economy_gdp_2019,social_support_2019,healthy_life_expectancy_2019,freedom_2019,generosity_2019,trust_2019,Happiness category,new_region_label
57,57,58,Japan,5.886,1.327,1.419,1.088,0.445,0.069,0.14,Mid_Happiness,Asia
58,58,59,Honduras,5.86,0.642,1.236,0.828,0.507,0.246,0.078,Mid_Happiness,America
59,59,60,Kazakhstan,5.809,1.173,1.508,0.729,0.41,0.146,0.096,Mid_Happiness,Europe
60,60,61,Bolivia,5.779,0.776,1.209,0.706,0.511,0.137,0.064,Mid_Happiness,America
61,61,62,Hungary,5.758,1.201,1.41,0.828,0.199,0.081,0.02,Mid_Happiness,Europe
62,62,63,Paraguay,5.743,0.855,1.475,0.777,0.514,0.184,0.08,Mid_Happiness,America
63,63,64,Northern Cyprus,5.718,1.263,1.252,1.042,0.417,0.191,0.162,Mid_Happiness,Europe
64,64,65,Peru,5.697,0.96,1.274,0.854,0.455,0.083,0.027,Mid_Happiness,America
65,65,66,Portugal,5.693,1.221,1.431,0.999,0.508,0.047,0.025,Mid_Happiness,Europe
66,66,67,Pakistan,5.653,0.677,0.886,0.535,0.313,0.22,0.098,Mid_Happiness,Asia
67,67,68,Russia,5.648,1.183,1.452,0.726,0.334,0.082,0.031,Mid_Happiness,Europe
68,68,69,Philippines,5.631,0.807,1.293,0.657,0.558,0.117,0.107,Mid_Happiness,Asia
69,69,70,Serbia,5.603,1.004,1.383,0.854,0.282,0.137,0.039,Mid_Happiness,Europe
70,70,71,Moldova,5.529,0.685,1.328,0.739,0.245,0.181,0.0,Mid_Happiness,Europe
71,71,72,Libya,5.525,1.044,1.303,0.673,0.416,0.133,0.152,Mid_Happiness,Africa
72,72,73,Montenegro,5.523,1.051,1.361,0.871,0.197,0.142,0.08,Mid_Happiness,Europe
73,73,74,Tajikistan,5.467,0.493,1.098,0.718,0.389,0.23,0.144,Mid_Happiness,Asia
74,74,75,Croatia,5.432,1.155,1.266,0.914,0.296,0.119,0.022,Mid_Happiness,Europe
75,75,76,Hong Kong,5.43,1.438,1.277,1.122,0.44,0.258,0.287,Mid_Happiness,Asia
76,76,77,Dominican Republic,5.425,1.015,1.401,0.779,0.497,0.113,0.101,Mid_Happiness,America
77,77,78,Bosnia and Herzegovina,5.386,0.945,1.212,0.845,0.212,0.263,0.006,Mid_Happiness,Europe
78,78,79,Turkey,5.373,1.183,1.36,0.808,0.195,0.083,0.106,Mid_Happiness,Europe
79,79,80,Malaysia,5.339,1.221,1.171,0.828,0.508,0.26,0.024,Mid_Happiness,Asia
80,80,81,Belarus,5.323,1.067,1.465,0.789,0.235,0.094,0.142,Mid_Happiness,Europe
81,81,82,Greece,5.287,1.181,1.156,0.999,0.067,0.0,0.034,Mid_Happiness,Europe
82,82,83,Mongolia,5.285,0.948,1.531,0.667,0.317,0.235,0.038,Mid_Happiness,Asia
83,83,84,North Macedonia,5.274,0.983,1.294,0.838,0.345,0.185,0.034,Mid_Happiness,Europe
84,84,85,Nigeria,5.265,0.696,1.111,0.245,0.426,0.215,0.041,Mid_Happiness,Africa
85,85,86,Kyrgyzstan,5.261,0.551,1.438,0.723,0.508,0.3,0.023,Mid_Happiness,Asia
86,86,87,Turkmenistan,5.247,1.052,1.538,0.657,0.394,0.244,0.028,Mid_Happiness,Asia
87,87,88,Algeria,5.211,1.002,1.16,0.785,0.086,0.073,0.114,Mid_Happiness,Africa
88,88,89,Morocco,5.208,0.801,0.782,0.782,0.418,0.036,0.076,Mid_Happiness,Africa
89,89,90,Azerbaijan,5.208,1.043,1.147,0.769,0.351,0.035,0.182,Mid_Happiness,Europe
90,90,91,Lebanon,5.197,0.987,1.224,0.815,0.216,0.166,0.027,Mid_Happiness,Africa
91,91,92,Indonesia,5.192,0.931,1.203,0.66,0.491,0.498,0.028,Mid_Happiness,Asia
92,92,93,China,5.191,1.029,1.125,0.893,0.521,0.058,0.1,Mid_Happiness,Asia
93,93,94,Vietnam,5.175,0.741,1.346,0.851,0.543,0.147,0.073,Mid_Happiness,Asia
94,94,95,Bhutan,5.082,0.813,1.321,0.604,0.457,0.37,0.167,Mid_Happiness,Asia
95,95,96,Cameroon,5.044,0.549,0.91,0.331,0.381,0.187,0.037,Mid_Happiness,Africa
96,96,97,Bulgaria,5.011,1.092,1.513,0.815,0.311,0.081,0.004,Mid_Happiness,Europe
97,97,98,Ghana,4.996,0.611,0.868,0.486,0.381,0.245,0.04,Mid_Happiness,Africa
98,98,99,Ivory Coast,4.944,0.569,0.808,0.232,0.352,0.154,0.09,Mid_Happiness,Africa
99,99,100,Nepal,4.913,0.446,1.226,0.677,0.439,0.285,0.089,Mid_Happiness,Asia
100,100,101,Jordan,4.906,0.837,1.225,0.815,0.383,0.11,0.13,Mid_Happiness,Asia
101,101,102,Benin,4.883,0.393,0.437,0.397,0.349,0.175,0.082,Mid_Happiness,Africa
102,102,103,Congo (Brazzaville),4.812,0.673,0.799,0.508,0.372,0.105,0.093,Mid_Happiness,Africa
103,103,104,Gabon,4.799,1.057,1.183,0.571,0.295,0.043,0.055,Mid_Happiness,Africa
104,104,105,Laos,4.796,0.764,1.03,0.551,0.547,0.266,0.164,Mid_Happiness,Asia
105,105,106,South Africa,4.722,0.96,1.351,0.469,0.389,0.13,0.055,Mid_Happiness,Africa
106,106,107,Albania,4.719,0.947,0.848,0.874,0.383,0.178,0.027,Mid_Happiness,Europe
107,107,108,Venezuela,4.707,0.96,1.427,0.805,0.154,0.064,0.047,Mid_Happiness,America
108,108,109,Cambodia,4.7,0.574,1.122,0.637,0.609,0.232,0.062,Mid_Happiness,Asia
109,109,110,Palestinian Territories,4.696,0.657,1.247,0.672,0.225,0.103,0.066,Mid_Happiness,Africa
110,110,111,Senegal,4.681,0.45,1.134,0.571,0.292,0.153,0.072,Mid_Happiness,Africa
111,111,112,Somalia,4.668,0.0,0.698,0.268,0.559,0.243,0.27,Mid_Happiness,Africa
112,112,113,Namibia,4.639,0.879,1.313,0.477,0.401,0.07,0.056,Mid_Happiness,Africa
113,113,114,Niger,4.628,0.138,0.774,0.366,0.318,0.188,0.102,Mid_Happiness,Africa
114,114,115,Burkina Faso,4.587,0.331,1.056,0.38,0.255,0.177,0.113,Mid_Happiness,Africa
115,115,116,Armenia,4.559,0.85,1.055,0.815,0.283,0.095,0.064,Mid_Happiness,Europe
116,116,117,Iran,4.548,1.1,0.842,0.785,0.305,0.27,0.125,Mid_Happiness,Asia
117,117,118,Guinea,4.534,0.38,0.829,0.375,0.332,0.207,0.086,Mid_Happiness,Africa
118,118,119,Georgia,4.519,0.886,0.666,0.752,0.346,0.043,0.164,Mid_Happiness,Europe
119,119,120,Gambia,4.516,0.308,0.939,0.428,0.382,0.269,0.167,Mid_Happiness,Africa
120,120,121,Kenya,4.509,0.512,0.983,0.581,0.431,0.372,0.053,Mid_Happiness,Africa
121,121,122,Mauritania,4.49,0.57,1.167,0.489,0.066,0.106,0.088,Mid_Happiness,Africa
122,122,123,Mozambique,4.466,0.204,0.986,0.39,0.494,0.197,0.138,Mid_Happiness,Africa
123,123,124,Tunisia,4.461,0.921,1.0,0.815,0.167,0.059,0.055,Mid_Happiness,Africa
124,124,125,Bangladesh,4.456,0.562,0.928,0.723,0.527,0.166,0.143,Mid_Happiness,Asia
125,125,126,Iraq,4.437,1.043,0.98,0.574,0.241,0.148,0.089,Mid_Happiness,Asia
126,126,127,Congo (Kinshasa),4.418,0.094,1.125,0.357,0.269,0.212,0.053,Mid_Happiness,Africa
127,127,128,Mali,4.39,0.385,1.105,0.308,0.327,0.153,0.052,Mid_Happiness,Africa
128,128,129,Sierra Leone,4.374,0.268,0.841,0.242,0.309,0.252,0.045,Mid_Happiness,Africa
129,129,130,Sri Lanka,4.366,0.949,1.265,0.831,0.47,0.244,0.047,Mid_Happiness,Asia
130,130,131,Myanmar,4.36,0.71,1.181,0.555,0.525,0.566,0.172,Mid_Happiness,Asia
131,131,132,Chad,4.35,0.35,0.766,0.192,0.174,0.198,0.078,Mid_Happiness,Africa
132,132,133,Ukraine,4.332,0.82,1.39,0.739,0.178,0.187,0.01,Mid_Happiness,Europe
133,133,134,Ethiopia,4.286,0.336,1.033,0.532,0.344,0.209,0.1,Mid_Happiness,Africa
134,134,135,Swaziland,4.212,0.811,1.149,0.0,0.313,0.074,0.135,Mid_Happiness,Africa
135,135,136,Uganda,4.189,0.332,1.069,0.443,0.356,0.252,0.06,Mid_Happiness,Africa
136,136,137,Egypt,4.166,0.913,1.039,0.644,0.241,0.076,0.067,Mid_Happiness,Africa
137,137,138,Zambia,4.107,0.578,1.058,0.426,0.431,0.247,0.087,Mid_Happiness,Africa
138,138,139,Togo,4.085,0.275,0.572,0.41,0.293,0.177,0.085,Mid_Happiness,Africa
139,139,140,India,4.015,0.755,0.765,0.588,0.498,0.2,0.085,Mid_Happiness,Asia
140,140,141,Liberia,3.975,0.073,0.922,0.443,0.37,0.233,0.033,Low_Happiness,Africa
141,141,142,Comoros,3.973,0.274,0.757,0.505,0.142,0.275,0.078,Low_Happiness,Africa
142,142,143,Madagascar,3.933,0.274,0.916,0.555,0.148,0.169,0.041,Low_Happiness,Africa
143,143,144,Lesotho,3.802,0.489,1.169,0.168,0.359,0.107,0.093,Low_Happiness,Africa
144,144,145,Burundi,3.775,0.046,0.447,0.38,0.22,0.176,0.18,Low_Happiness,Africa
145,145,146,Zimbabwe,3.663,0.366,1.114,0.433,0.361,0.151,0.089,Low_Happiness,Africa
146,146,147,Haiti,3.597,0.323,0.688,0.449,0.026,0.419,0.11,Low_Happiness,America
147,147,148,Botswana,3.488,1.041,1.145,0.538,0.455,0.025,0.1,Low_Happiness,Africa
148,148,149,Syria,3.462,0.619,0.378,0.44,0.013,0.331,0.141,Low_Happiness,Asia
149,149,150,Malawi,3.41,0.191,0.56,0.495,0.443,0.218,0.089,Low_Happiness,Africa
150,150,151,Yemen,3.38,0.287,1.163,0.463,0.143,0.108,0.077,Low_Happiness,Asia
151,151,152,Rwanda,3.334,0.359,0.711,0.614,0.555,0.217,0.411,Low_Happiness,Africa
152,152,153,Tanzania,3.231,0.476,0.885,0.499,0.417,0.276,0.147,Low_Happiness,Africa
153,153,154,Afghanistan,3.203,0.35,0.517,0.361,0.0,0.158,0.025,Low_Happiness,Asia
154,154,155,Central African Republic,3.083,0.026,0.0,0.105,0.225,0.235,0.035,Low_Happiness,Africa
155,155,156,South Sudan,2.853,0.306,0.575,0.295,0.01,0.202,0.091,Low_Happiness,Africa
